"z","dest","src","probability","transition energy (in eV)"
34,8,11,"1.36030E-06","5.50900E+01"
34,8,12,"2.54620E-07","5.55100E+01"
34,9,12,"1.32540E-06","5.45700E+01"
34,3,30,"1.30859E-09","4.26000E+01"
35,1,3,"1.82072E-01","1.18778E+04"
35,1,4,"3.51534E-01","1.19244E+04"
35,1,6,"2.51133E-02","1.32847E+04"
35,1,7,"4.89996E-02","1.32916E+04"
35,1,8,"6.60448E-05","1.33963E+04"
35,1,9,"9.48212E-05","1.33963E+04"
35,1,11,"1.67432E-03","1.34234E+04"
35,1,12,"3.22224E-03","1.34240E+04"
35,2,3,"1.42686E-05","1.67100E+02"
35,2,4,"8.04171E-05","2.15600E+02"
35,2,6,"1.02582E-03","1.59630E+03"
35,2,7,"1.83441E-03","1.59630E+03"
35,2,8,"5.59093E-06","1.71190E+03"
